0.087014,15.266111,static,1,-34302.1474765774,-2524264.4603202268
0.077185,11.015606,static,2,-34302.1474765774,-2524264.4603202268
0.078918,6.758050,static,4,-34302.1474765774,-2524264.4603202268
0.079011,5.184783,static,8,-34302.1474765774,-2524264.4603202268
0.082605,6.854794,static,16,-34302.1474765774,-2524264.4603202268
0.088036,11.350990,static,32,-34302.1474765774,-2524264.4603202268
0.103426,13.379282,static,64,-34302.1474765774,-2524264.4603202268
0.074448,10.181741,dynamic,1,-34302.1474765774,-2524264.4603202268
0.073660,8.233846,dynamic,2,-34302.1474765774,-2524264.4603202268
0.073499,7.110740,dynamic,4,-34302.1474765774,-2524264.4603202268
0.074294,4.131324,dynamic,8,-34302.1474765774,-2524264.4603202268
0.075026,7.464640,dynamic,16,-34302.1474765774,-2524264.4603202268
0.074783,10.045483,dynamic,32,-34302.1474765774,-2524264.4603202268
0.074902,12.944003,dynamic,64,-34302.1474765774,-2524264.4603202268
0.136503,15.128668,guided,1,-34302.1474765774,-2524264.4603202268
0.136196,15.203504,guided,2,-34302.1474765774,-2524264.4603202268
0.135580,14.995708,guided,4,-34302.1474765774,-2524264.4603202268
0.135902,15.197245,guided,8,-34302.1474765774,-2524264.4603202268
0.132537,15.044643,guided,16,-34302.1474765774,-2524264.4603202268
0.136920,14.957707,guided,32,-34302.1474765774,-2524264.4603202268
0.136383,15.075003,guided,64,-34302.1474765774,-2524264.4603202268
