0,729,0.0019795289,2927806.4291932932,2927806.4311728221,0,OWN,LOOP1,1
0,729,0.0055602631,2927806.4319410119,2927806.4375012750,0,OWN,LOOP2,1
365,547,0.0007146178,2927812.3568631932,2927812.3575778110,1,OWN,LOOP1,2
0,183,0.0011112653,2927812.3568620039,2927812.3579732692,0,OWN,LOOP1,2
547,638,0.0001044059,2927812.3579007201,2927812.3580051260,1,OWN,LOOP1,2
638,684,0.0000314820,2927812.3580085351,2927812.3580400171,1,OWN,LOOP1,2
684,707,0.0000103894,2927812.3580428078,2927812.3580531972,1,OWN,LOOP1,2
707,718,0.0000033141,2927812.3580559241,2927812.3580592382,1,OWN,LOOP1,2
718,724,0.0000011590,2927812.3580617788,2927812.3580629379,1,OWN,LOOP1,2
724,727,0.0000003409,2927812.3580654911,2927812.3580658319,1,OWN,LOOP1,2
727,728,0.0000001672,2927812.3580682748,2927812.3580684420,1,OWN,LOOP1,2
728,729,0.0000000740,2927812.3580708480,2927812.3580709221,1,OWN,LOOP1,2
274,320,0.0001447313,2927812.3580739689,2927812.3582187002,1,STOLEN,LOOP1,2
183,274,0.0003001359,2927812.3579875240,2927812.3582876599,0,OWN,LOOP1,2
320,343,0.0000673537,2927812.3582216152,2927812.3582889689,1,STOLEN,LOOP1,2
354,360,0.0000169431,2927812.3583046468,2927812.3583215899,1,STOLEN,LOOP1,2
343,354,0.0000279308,2927812.3582963790,2927812.3583243098,0,OWN,LOOP1,2
363,364,0.0000025029,2927812.3583275140,2927812.3583300170,0,OWN,LOOP1,2
360,363,0.0000083148,2927812.3583243722,2927812.3583326871,1,STOLEN,LOOP1,2
364,365,0.0000024941,2927812.3583325921,2927812.3583350861,0,OWN,LOOP1,2
365,547,0.0005890578,2927812.3589179460,2927812.3595070038,1,OWN,LOOP2,2
547,638,0.0002464177,2927812.3595113591,2927812.3597577768,1,OWN,LOOP2,2
638,684,0.0001639281,2927812.3597604521,2927812.3599243802,1,OWN,LOOP2,2
684,707,0.0000828980,2927812.3599268971,2927812.3600097951,1,OWN,LOOP2,2
707,718,0.0000001029,2927812.3600123562,2927812.3600124591,1,OWN,LOOP2,2
718,724,0.0000000931,2927812.3600149099,2927812.3600150030,1,OWN,LOOP2,2
724,727,0.0000000908,2927812.3600173881,2927812.3600174789,1,OWN,LOOP2,2
727,728,0.0000000871,2927812.3600197979,2927812.3600198850,1,OWN,LOOP2,2
728,729,0.0000000861,2927812.3600221770,2927812.3600222631,1,OWN,LOOP2,2
183,274,0.0003633150,2927812.3600251111,2927812.3603884261,1,STOLEN,LOOP2,2
274,320,0.0001899060,2927812.3603951219,2927812.3605850278,1,STOLEN,LOOP2,2
320,343,0.0000886880,2927812.3605890940,2927812.3606777820,1,STOLEN,LOOP2,2
343,354,0.0000001034,2927812.3606804628,2927812.3606805662,1,STOLEN,LOOP2,2
354,360,0.0000000899,2927812.3606832600,2927812.3606833499,1,STOLEN,LOOP2,2
360,363,0.0000000848,2927812.3606859380,2927812.3606860228,1,STOLEN,LOOP2,2
363,364,0.0000000820,2927812.3606886631,2927812.3606887450,1,STOLEN,LOOP2,2
364,365,0.0000000801,2927812.3606912550,2927812.3606913351,1,STOLEN,LOOP2,2
0,183,0.0040568612,2927812.3589176130,2927812.3629744742,0,OWN,LOOP2,2
486,567,0.0003943620,2927824.7177662072,2927824.7181605692,2,OWN,LOOP1,3
243,324,0.0005319631,2927824.7177662910,2927824.7182982541,1,OWN,LOOP1,3
0,81,0.0006513232,2927824.7177650859,2927824.7184164091,0,OWN,LOOP1,3
