0.0022232393,0.0058657588,1,-343.0214747599,-25242.6446031986
0.0013037883,0.0042747967,2,-343.0214747599,-25242.6446031986
0.0010011098,0.0037138681,3,-343.0214747599,-25242.6446031986
0.0007413579,0.0020000841,6,-343.0214747599,-25242.6446031986
0.0007234751,0.0008099489,12,-343.0214747599,-25242.6446031986
0.0013363818,0.0006005052,24,-343.0214747599,-25242.6446031986
0.0020111580,0.0054452503,1,-343.0214747599,-25242.6446031986
0.0012565241,0.0039207898,2,-343.0214747599,-25242.6446031986
0.0009296243,0.0034079240,3,-343.0214747599,-25242.6446031986
0.0006841738,0.0018838821,6,-343.0214747599,-25242.6446031986
0.0007158029,0.0007961150,12,-343.0214747599,-25242.6446031986
0.0012871413,0.0005941829,24,-343.0214747599,-25242.6446031986
0.0019760523,0.0054886299,1,-343.0214747599,-25242.6446031986
0.0012632632,0.0039385627,2,-343.0214747599,-25242.6446031986
0.0009553968,0.0033878200,3,-343.0214747599,-25242.6446031986
0.0007208632,0.0019435659,6,-343.0214747599,-25242.6446031986
0.0007584277,0.0008635856,12,-343.0214747599,-25242.6446031986
0.0013266001,0.0005875221,24,-343.0214747599,-25242.6446031986
0.0019979682,0.0056876801,1,-343.0214747599,-25242.6446031986
0.0012675747,0.0041132392,2,-343.0214747599,-25242.6446031986
0.0010956284,0.0035171970,3,-343.0214747599,-25242.6446031986
0.0008089640,0.0019323458,6,-343.0214747599,-25242.6446031986
0.0008205101,0.0008205958,12,-343.0214747599,-25242.6446031986
0.0012908787,0.0007594232,24,-343.0214747599,-25242.6446031986
0.0020308881,0.0061138771,1,-343.0214747599,-25242.6446031986
0.0013149618,0.0047538369,2,-343.0214747599,-25242.6446031986
0.0010724799,0.0037611541,3,-343.0214747599,-25242.6446031986
0.0007749619,0.0020547579,6,-343.0214747599,-25242.6446031986
0.0008497788,0.0008684956,12,-343.0214747599,-25242.6446031986
0.0044632670,0.0008163550,24,-343.0214747599,-25242.6446031986
